Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-612_3D_Structure_model1_ZINC000584895208_uff_E=529.63,-7.7,9.595,4.56
miRNA-612_3D_Structure_model1_ZINC000000039857_uff_E=352.48,-7.6,57.261,55.444
miRNA-612_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-7.6,48.322,45.521
miRNA-612_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-7.6,53.343,50.634
miRNA-612_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-7.6,37.891,36.311
miRNA-612_3D_Structure_model1_ZINC000001424246_uff_E=405.37,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000001424246_uff_E=405.37,-7.6,39.348,37.351
miRNA-612_3D_Structure_model1_ZINC000001748317_uff_E=115.83,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.6,38.345,36.94
miRNA-612_3D_Structure_model1_ZINC000004249556_uff_E=362.13,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-7.6,3.111,2.044
miRNA-612_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-7.6,38.893,37.245
miRNA-612_3D_Structure_model1_ZINC000006445426_uff_E=365.88,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.6,49.829,48.294
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.6,49.895,48.476
miRNA-612_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.6,3.709,2.749
miRNA-612_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.6,38.287,36.866
miRNA-612_3D_Structure_model1_ZINC000008575829_uff_E=813.95,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000008983594_uff_E=548.68,-7.6,2.352,1.603
miRNA-612_3D_Structure_model1_ZINC000012504764_uff_E=339.89,-7.6,2.084,1.417
miRNA-612_3D_Structure_model1_ZINC000013470885_uff_E=336.76,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000014001469_uff_E=308.66,-7.6,4.204,1.564
miRNA-612_3D_Structure_model1_ZINC000014988494_uff_E=385.12,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000016283433_uff_E=390.12,-7.6,44.035,42.292
miRNA-612_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.6,7.477,4.665
miRNA-612_3D_Structure_model1_ZINC000036896411_uff_E=201.34,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-7.6,41.371,39.69
miRNA-612_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-7.6,6.622,4.416
miRNA-612_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-7.6,8.546,6.452
miRNA-612_3D_Structure_model1_ZINC000065614335_uff_E=326.84,-7.6,47.449,44.443
miRNA-612_3D_Structure_model1_ZINC000065614335_uff_E=326.84,-7.6,48.546,45.294
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.6,6.562,3.507
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.6,2.489,1.856
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.6,2.902,2.105
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.6,51.19,48.915
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.6,28.733,27.09
miRNA-612_3D_Structure_model1_ZINC000078210627_uff_E=402.98,-7.6,7.212,3.736
miRNA-612_3D_Structure_model1_ZINC000096113659_uff_E=327.17,-7.6,0,0
miRNA-612_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-7.6,3.528,2.436
