Ligand,Binding Energy
ZINC000050213590_uff_E=442.82,-6.7
ZINC000062913446_uff_E=257.45,-6.7
ZINC000072416564_uff_E=279.41,-6.7
ZINC000087208382_uff_E=260.78,-6.7
ZINC000087208386_uff_E=263.77,-6.7
ZINC000091292855_uff_E=268.27,-6.7
ZINC000091292857_uff_E=269.98,-6.7
ZINC000122994856_uff_E=172.20,-6.7
ZINC000236712625_uff_E=158.00,-6.7
ZINC000241160515_uff_E=412.86,-6.7
ZINC000252481740_uff_E=400.44,-6.7
ZINC000262755539_uff_E=377.26,-6.7
ZINC000263229398_uff_E=190.73,-6.7
ZINC000299750477_uff_E=1485.05,-6.7
ZINC000426612630_uff_E=375.37,-6.7
ZINC000685939372_uff_E=746.04,-6.7
ZINC000000070213_uff_E=131.84,-6.6
ZINC000000124828_uff_E=154.10,-6.6
ZINC000000124830_uff_E=154.59,-6.6
ZINC000000236718_uff_E=481.52,-6.6
ZINC000000374879_uff_E=152.86,-6.6
ZINC000000808044_uff_E=212.13,-6.6
ZINC000000897244_uff_E=1446.07,-6.6
ZINC000001023501_uff_E=298.07,-6.6
ZINC000001044169_uff_E=112.87,-6.6
ZINC000001191358_uff_E=190.49,-6.6
ZINC000001514644_uff_E=370.52,-6.6
ZINC000001576322_uff_E=98.47,-6.6
ZINC000002169124_uff_E=961.50,-6.6
ZINC000002382906_uff_E=295.05,-6.6
ZINC000002560345_uff_E=63.50,-6.6
ZINC000003643731_uff_E=373.87,-6.6
ZINC000003844356_uff_E=204.24,-6.6
ZINC000004223090_uff_E=110.81,-6.6
ZINC000004223091_uff_E=110.81,-6.6
ZINC000004611494_uff_E=130.13,-6.6
ZINC000004770450_uff_E=306.67,-6.6
ZINC000005789478_uff_E=97.29,-6.6
ZINC000008653863_uff_E=83.93,-6.6
ZINC000008914725_uff_E=374.35,-6.6
ZINC000009190225_uff_E=187.72,-6.6
ZINC000012397819_uff_E=436.69,-6.6
ZINC000015775022_uff_E=151.29,-6.6
ZINC000015775024_uff_E=152.58,-6.6
ZINC000017110030_uff_E=129.60,-6.6
ZINC000019280333_uff_E=781.24,-6.6
ZINC000020258509_uff_E=256.97,-6.6
ZINC000036747153_uff_E=135.41,-6.6
ZINC000037374130_uff_E=178.00,-6.6
ZINC000047843705_uff_E=667.90,-6.6
ZINC000049581963_uff_E=109.86,-6.6
ZINC000062938568_uff_E=449.78,-6.6
ZINC000065373232_uff_E=457.33,-6.6
ZINC000077101491_uff_E=702.47,-6.6
ZINC000086012760_uff_E=203.49,-6.6
